	N120	N123	N124	N126	N130	N131	N138	N140	N144	N146	N148	N149	N150	N151	N152	N153	N155	N158	N160	N163	N164	N165	N166	N169	N171	N172	N176	N178	N179	N182	N185	N186	N187	N188	N189	N192	N193	N195	N197	N198	N199	N200	N202	N203	N205	N210	N212	N214	N215	N216	N217	N221	N222	N224	N226	N228	N229	N232	N233	N234	N235	N238	N240	N243	N245	N246	N247	N248	N250	N254	N255	N256	N259	N261	N265	N267	N268	N269	N270	N153A
SERPINA5	9.044973173	8.078558426	5.606167227	8.385488688	8.188750672	8.686156476	9.042173348	7.245380593	8.767424707	9.174063971	8.967101435	9.102688377	10.25662317	8.964859649	8.584271684	9.723455735	9.196841268	9.054653173	9.031175254	8.544129203	7.443120323	8.516114707	9.865566346	13.39288619	9.197683173	8.205984571	9.548288852	10.53699119	8.792803173	9.481301268	7.967108688	8.741982824	7.951186266	9.189481733	8.805456999	8.896961268	8.31318	8.97538	7.752704707	8.508378767	8.98963907	9.743793689	8.545923348	9.832227338	9.096779879	6.348058767	9.309823173	8.823604185	9.171668095	8.766393349	9.114619649	9.661149879	9.899206472	10.48141127	9.326155195	8.919058095	8.986496758	9.205637499	9.203911631	9.850445735	8.34715	8.938166187	9.230228095	8.34781	7.516416476	6.962966176	7.75771	9.286919879	9.034886472	0.02876907	9.103826266	8.982648095	7.90211	9.114924234	9.34441314	10.19514397	8.496932824	8.80666	9.17174907	8.74741
FCGR3B	3.538483173	4.202148426	0.803137227	3.407048688	6.574770672	6.381816476	4.475293348	4.854940593	4.964704707	4.301973971	5.938111435	4.571178377	5.735893173	4.097509649	5.361561684	4.693775735	3.194171268	7.177143173	4.789025254	4.904219203	5.264550323	4.967284707	3.574446346	7.08365619	4.428163173	2.814134571	5.284138852	5.060891188	3.519863173	3.811401268	2.698558688	5.578742824	2.768656266	5.748941733	4.950566999	4.714891268	3.03567	4.35146	4.706744707	3.140378767	4.48459907	6.042783689	3.857623348	4.935877338	3.267839879	2.579768767	4.699953173	5.827194185	5.531228095	5.660873349	4.731379649	6.317449879	5.038906472	4.690641268	4.165865195	3.741358095	5.130376758	5.317867499	4.377261631	5.299915735	4.11753	5.029086187	5.370088095	1.92906	5.159166476	5.760636176	3.84289	4.789999879	2.822016472	0.09266907	4.122986266	4.854258095	4.97424	5.926604234	3.64566314	5.066163971	3.456092824	2.43544	3.97576907	3.16313
IGFBP6	8.054813173	7.589888426	5.626407227	7.604228688	6.525840672	8.706376476	8.041193348	8.349030593	7.368344707	7.761313971	8.898741435	9.749268377	10.26503317	9.295719649	7.630161684	7.677965735	8.544271268	9.201553173	9.279245254	6.464379203	8.379200323	7.900964707	9.532996346	12.37713619	8.095543173	7.780994571	7.888838852	7.562801188	7.579003173	8.115131268	6.036948688	7.494872824	8.712126266	8.876491733	7.642376999	8.553191268	7.71636	8.51245	8.837014707	8.221758767	8.40681907	9.558813689	7.164873348	10.12530734	7.363369879	6.692178767	9.954683173	8.064684185	9.568118095	9.186783349	9.798869649	8.826939879	10.19489647	9.627971268	8.828305195	7.900138095	8.410106758	8.775747499	7.641831631	8.810065735	7.29638	5.310316187	8.359998095	7.77493	6.801116476	6.201556176	7.61629	7.420129879	6.974196472	-0.50778093	7.739926266	8.200258095	8.20419	8.531064234	8.18680314	9.960423971	7.702572824	8.75946	9.17679907	7.20333
CDH1	4.099503173	3.269148426	4.035017227	3.659458688	4.838420672	3.886766476	3.929263348	4.115220593	4.346604707	4.468203971	5.017951435	4.741598377	5.584403173	4.779149649	3.398781684	5.301325735	4.874331268	6.001463173	4.177575254	4.119849203	4.094890323	4.241404707	4.281146346	8.26815619	4.517343173	4.106804571	5.429918852	5.164621188	4.240763173	4.238541268	3.875958688	4.341062824	3.578746266	4.867921733	4.374066999	3.404161268	3.56438	3.89187	4.076964707	3.541548767	4.31587907	5.525543689	4.126413348	5.281407338	4.167189879	4.284808767	4.345033173	3.871784185	4.471538095	4.733363349	3.874809649	5.756169879	4.978396472	5.938081268	4.748405195	4.254548095	3.525986758	5.175467499	3.685821631	4.614745735	3.87682	4.855266187	4.518488095	4.04302	3.810026476	4.645626176	3.55223	5.042679879	4.591686472	-0.82015093	5.198976266	4.523428095	4.62631	4.884364234	4.50753314	5.423833971	4.329102824	4.04322	4.04780907	4.10551
CCL5	7.025613173	9.743118426	8.359757227	8.186678688	9.994380672	7.283026476	9.649363348	8.448030593	9.049454707	10.63604397	9.562931435	9.162978377	9.571793173	8.585179649	8.692941684	10.42785574	8.440831268	10.10178317	8.540805254	10.5299592	8.060360323	9.115174707	9.712806346	12.43278619	7.743163173	8.772244571	10.16383885	10.16097119	10.01932317	10.46620127	9.359598688	9.254092824	7.086846266	9.006831733	8.581486999	8.845401268	8.78914	8.49891	9.431564707	9.498558767	8.67353907	7.843433689	7.638433348	7.754587338	7.841329879	8.051008767	8.641053173	9.306334185	8.759448095	10.62527335	10.55185965	9.578739879	8.939656472	9.550391268	9.181315195	9.083308095	8.354446758	8.384447499	9.224561631	9.900685735	8.21152	9.046056187	9.249048095	7.63277	8.361796476	9.613246176	7.76834	9.099509879	8.197776472	0.16987907	10.15939627	8.567998095	7.83642	9.294934234	8.42888314	10.26206397	9.118032824	7.5048	8.79519907	9.29355
CCL14	11.68313317	10.91533843	8.617587227	10.83315869	11.09944067	11.08420648	11.26001335	10.55710059	11.20507471	10.73415397	11.39954144	11.76776838	12.81360317	11.35237965	10.89444168	11.70611574	12.25498127	11.86964317	11.42075525	11.0487492	11.13720032	11.10187471	12.47403635	15.45243619	11.32486317	11.47971457	11.65217885	11.89156119	11.44901317	11.99989127	9.773178688	11.00142282	11.78552627	11.91132173	11.352727	11.01569127	11.28896	11.21513	11.25877471	11.69102877	11.54625907	12.28899369	10.65739335	11.95276734	11.67819988	11.05380877	11.87481317	11.47004419	11.56727809	11.68903335	12.00418965	12.01781988	12.33904647	12.34572127	11.40593519	11.15949809	11.60151676	11.6564475	11.25473163	12.24612574	11.14671	10.71769619	11.82726809	10.38314	10.81441648	10.95670618	10.95795	10.48086988	11.25312647	0.04283907	11.52773627	11.66388809	11.26099	11.49117423	11.88921314	12.72831397	11.30518282	11.38734	11.85562907	11.02236
GNLY	10.01703317	9.140648426	8.906927227	10.51629869	10.32566067	9.952586476	9.836043348	10.45508059	10.41731471	9.917233971	10.43355144	10.64676838	12.04424317	11.03517965	10.04606168	10.28186574	10.19678127	10.44045317	10.28412525	10.5187192	10.00404032	9.626184707	11.62386635	14.00265619	9.888313173	9.414694571	10.45471885	11.45060119	10.28518317	10.99320127	9.252828688	10.80251282	10.78112627	11.40602173	10.422307	10.09284127	9.01607	10.39538	9.686484707	10.28765877	10.36850907	11.18531369	8.253543348	10.53065734	10.23867988	10.79975877	11.26135317	10.94218419	12.36099809	11.42078335	10.77091965	11.29161988	11.32194647	11.12384127	11.06522519	10.24287809	11.04712676	11.1948275	11.86381163	11.18410574	9.28482	9.796246187	10.93279809	9.8645	10.52480648	10.12916618	9.22497	9.318579879	9.008946472	0.21531907	10.73659627	10.55015809	9.40831	10.44959423	10.45325314	11.64389397	9.827172824	10.1264	10.97448907	9.26046
NOTCH1	3.921963173	3.435448426	2.407547227	3.603608688	4.046000672	4.732626476	4.791183348	3.164590593	4.270904707	4.098933971	5.217251435	5.358998377	5.474303173	4.687639649	3.872641684	4.349565735	2.785171268	5.718323173	3.955505254	3.475229203	3.106070323	3.202224707	4.146926346	7.71017619	4.401773173	2.869654571	5.303088852	4.620671188	3.886063173	4.413521268	4.287298688	4.494922824	3.540276266	5.401821733	3.203336999	4.304561268	2.66652	4.15377	2.703634707	2.664898767	4.30875907	5.320493689	2.561153348	5.827017338	3.587349879	2.942158767	4.790983173	5.273224185	4.926608095	4.866873349	5.145619649	5.398149879	4.624666472	5.385881268	4.282095195	4.315258095	3.985316758	5.223027499	4.658281631	5.250095735	3.88181	4.070346187	4.771048095	3.57673	3.486816476	3.477386176	3.23641	4.431159879	4.653696472	-0.10261093	5.300776266	4.353048095	2.1621	4.343444234	4.11029314	5.069503971	2.531622824	3.57306	4.54075907	4.09246
PAM	6.591963173	2.616368426	4.396537227	4.063768688	4.236890672	5.549476476	5.592703348	3.794430593	5.336124707	6.121603971	5.732641435	7.966688377	7.784543173	4.732489649	4.093791684	5.592615735	6.563531268	6.847803173	6.710085254	4.676619203	4.765710323	5.037824707	6.232236346	9.93687619	5.638383173	6.814354571	7.628768852	7.118031188	3.287233173	6.096111268	2.426758688	6.268022824	3.126176266	8.367881733	6.594646999	4.861941268	3.74481	5.44367	2.892144707	5.252358767	5.79672907	8.452423689	2.515343348	7.620327338	4.786899879	3.215798767	6.375383173	5.885694185	6.486348095	6.809773349	6.862319649	7.883479879	7.301296472	7.282891268	7.971715195	4.613428095	4.553516758	5.934707499	6.332701631	6.158295735	4.7949	4.022076187	5.872798095	3.14989	2.199746476	1.951426176	2.08976	5.977519879	6.151476472	1.09990907	7.240796266	5.705208095	3.34255	5.583174234	8.57853314	6.678023971	1.923742824	5.62342	6.99917907	4.67535
PROC	7.906093173	4.063158426	4.076377227	6.382748688	5.023980672	7.728366476	6.565193348	4.665120593	6.937084707	7.859383971	6.363601435	7.283628377	9.444983173	4.298919649	5.772301684	7.578145735	7.467631268	6.657513173	8.387725254	5.668489203	5.944330323	6.187954707	6.665066346	13.16774619	7.779883173	8.792014571	8.662878852	9.604291188	3.046053173	6.403801268	3.055558688	7.283782824	2.899226266	8.111981733	6.354336999	6.807361268	4.86437	6.7368	3.859714707	7.437608767	7.55335907	8.462803689	1.841273348	6.478967338	8.158429879	6.548848767	4.146243173	5.418534185	6.891418095	5.175383349	4.928789649	8.740739879	6.359706472	9.310541268	8.248885195	3.975278095	7.590356758	7.207327499	7.958311631	8.523485735	6.75144	7.301676187	6.008868095	1.65292	6.231776476	5.619316176	5.25953	7.786639879	7.465506472	-0.08186093	8.018006266	8.093918095	5.73572	6.011664234	9.08262314	6.053373971	3.510042824	6.89055	8.59310907	4.63232
CST3	10.94093317	10.22777843	7.199617227	10.18288869	10.52341067	10.75893648	10.45282335	9.984080593	10.54370471	9.767303971	10.78892144	11.24481838	12.12052317	11.14674965	9.910891684	10.54476574	10.90838127	11.42864317	11.05910525	9.873189203	10.30943032	10.03981471	11.05729635	13.61102619	10.18748317	10.63062457	10.91476885	10.31524119	9.113433173	10.24246127	8.574088688	10.21125282	9.148936266	11.29169173	10.548897	10.33288127	8.81471	10.31961	9.889994707	10.46351877	10.33803907	11.46748369	9.079123348	11.48922734	9.832459879	8.662318767	11.45507317	10.73250419	11.07481809	11.19503335	11.43119965	11.76812988	12.01746647	11.36499127	10.66621519	10.11290809	10.82502676	11.2012075	10.40597163	11.14842574	9.93181	9.822816187	11.19675809	8.51039	9.451706476	9.620056176	8.97981	9.566579879	8.889516472	0.30643907	10.46413627	10.86716809	10.80917	10.95019423	10.21384314	12.12736397	9.379982824	10.4732	11.13680907	8.83056
NCAM1	1.543713173	1.186898426	1.020867227	1.109648688	1.970420672	2.765446476	2.047483348	1.126080593	1.581094707	2.200263971	2.231061435	2.203818377	3.142563173	1.800559649	1.154781684	1.878245735	1.218871268	3.015853173	1.859595254	1.278759203	1.075320323	0.971334707	2.617736346	5.89256619	2.382103173	1.300634571	2.389678852	2.723391188	1.353463173	2.697881268	0.577708688	1.614962824	2.491096266	2.364771733	1.604076999	1.724221268	1.31681	1.39148	0.760094707	1.412368767	1.98775907	2.559703689	0.707493348	3.324867338	1.973359879	0.752468767	1.880773173	2.089104185	2.557338095	1.877173349	2.094699649	2.962589879	2.819706472	2.991681268	2.508985195	2.060518095	1.776246758	3.371347499	2.431391631	2.403755735	1.92196	1.965606187	1.881098095	1.43009	1.208206476	1.406046176	0.65803	2.525489879	1.770796472	-0.21923093	2.060036266	2.406628095	0.98382	2.310994234	2.58779314	1.849743971	0.806372824	2.23084	2.33138907	1.63356
PCOLCE	10.24556317	9.154388426	9.282987227	9.532608688	9.752180672	9.471766476	9.624963348	9.124420593	9.491754707	10.18182397	9.448241435	10.10164838	10.91099317	10.02428965	9.075941684	10.68070574	10.54739127	10.17397317	9.394955254	9.588009203	9.525600323	9.536744707	10.81059635	14.32697619	10.13621317	9.758744571	10.34640885	11.37945119	10.39173317	10.47832127	9.642488688	10.24405282	10.04669627	10.04919173	9.995676999	9.172381268	9.90812	9.44685	9.227204707	9.885258767	10.20574907	10.45044369	9.678283348	10.48150734	10.21367988	9.389918767	9.896403173	9.706054185	9.764808095	10.16070335	9.979539649	10.45422988	10.51168647	11.45169127	10.47179519	10.14521809	9.616406758	9.837927499	9.866571631	10.60285574	9.49937	9.944296187	9.969438095	9.97532	9.150836476	9.281406176	9.14439	10.50523988	10.62227647	0.26035907	10.13856627	10.17170809	9.65823	9.900184234	10.51381314	11.03345397	9.733972824	9.51956	10.29835907	9.51882
LILRB1	5.516363173	5.687748426	2.081157227	5.092418688	6.283730672	7.422736476	6.338233348	6.579020593	7.260044707	5.709183971	8.500551435	6.198548377	7.954383173	5.830039649	6.970801684	7.040185735	4.600951268	8.530923173	6.705795254	6.249499203	6.362490323	5.710944707	3.527596346	8.87074619	5.883093173	4.388004571	6.562958852	5.930571188	4.042713173	5.372341268	5.479608688	7.605772824	3.162546266	8.444701733	5.777696999	6.905211268	3.48436	5.93448	4.072304707	3.939128767	6.41618907	7.269823689	4.610553348	6.504937338	5.113549879	3.813068767	6.382983173	7.868254185	7.967348095	7.023953349	5.931539649	7.444849879	4.910596472	7.566941268	5.259905195	5.560218095	6.745656758	7.904277499	6.272071631	7.798065735	5.10092	5.944896187	7.014998095	3.77332	4.918696476	4.763246176	4.33493	5.919939879	4.310276472	1.21239907	6.132746266	6.172008095	2.5905	7.535134234	4.86639314	6.013833971	3.169322824	4.15598	5.37309907	5.33841
MET	1.124033173	0.507868426	0.0	0.663818688	1.652500672	1.656176476	1.366943348	0.122380593	1.646764707	1.590743971	1.843561435	2.539298377	3.015013173	1.285329649	0.430911684	1.769285735	1.042461268	1.895753173	0.635075254	1.519119203	0.870900323	0.462754707	1.937866346	5.49350619	1.441393173	0.827224571	2.240588852	2.625371188	0.698473173	1.517021268	0.139418688	0.935382824	0.696786266	1.806801733	0.971626999	0.611191268	0.18515	1.35717	0.058154707	0.381488767	1.53623907	2.744083689	0.361863348	3.261307338	1.193209879	0.284528767	1.635993173	1.851024185	2.032318095	2.096273349	2.693419649	2.763629879	2.003446472	2.550831268	1.706125195	1.147388095	1.064596758	2.557637499	1.644311631	1.923425735	1.44384	0.834936187	1.551518095	0.55788	0.296186476	0.632016176	0.23533	1.636409879	1.433196472	-0.01795093	1.408616266	1.523528095	0.47786	1.498544234	1.78383314	2.651193971	0.663402824	0.67241	2.51163907	1.17981
LTBP2	8.881793173	8.219208426	7.399197227	8.224928688	5.994110672	8.142806476	8.658123348	7.994330593	8.476964707	8.824873971	8.613001435	9.068918377	10.15466317	8.718369649	8.100361684	9.474455735	8.910801268	8.940953173	8.809105254	8.220469203	8.344370323	8.493694707	9.711236346	13.19220619	9.153493173	8.746084571	9.084578852	10.00644119	9.181053173	9.478241268	8.184168688	8.892962824	9.014866266	8.930951733	8.600386999	8.008601268	8.61085	8.62804	8.497274707	8.770238767	9.03757907	9.465273689	8.445823348	9.344077338	9.133979879	8.020768767	8.847963173	8.622964185	8.789488095	9.055853349	8.843749649	9.224649879	9.440276472	10.28994127	9.171385195	8.770908095	8.553546758	8.900567499	8.809521631	9.550885735	8.57251	8.702966187	9.021848095	8.50545	8.253616476	8.258966176	8.32226	9.373729879	9.520926472	-1.46933093	9.058086266	8.944088095	7.63395	8.655214234	9.46236314	9.826493971	8.511552824	8.47515	9.06746907	8.57154
IL7R	1.438203173	0.370468426	-0.091612773	0.373898688	2.112080672	1.218676476	1.581723348	0.163490593	1.522584707	1.098823971	1.938921435	1.061538377	3.139693173	0.779949649	0.573681684	1.918625735	2.068421268	2.323563173	0.587245254	3.357059203	1.291930323	0.901404707	1.882256346	5.03354619	0.828643173	1.333064571	1.913738852	2.648771188	0.0	1.890171268	0.869358688	1.276832824	0.0	2.261991733	2.354926999	1.156811268	0.48498	1.41015	0.643594707	0.682118767	1.36552907	2.014653689	0.511883348	1.932517338	1.359359879	0.0	1.528043173	2.776274185	3.783938095	1.619553349	2.924179649	2.589149879	2.040156472	2.402771268	1.967995195	0.370448095	1.165846758	2.774577499	2.095271631	2.557135735	1.23566	1.801116187	1.805168095	0.0	1.004506476	1.261736176	0.17545	2.209219879	1.377526472	-0.10308093	1.877666266	1.950008095	1.09174	1.307354234	2.26441314	2.293193971	0.627702824	0.50333	1.49491907	0.93268
VCAM1	6.193413173	4.533598426	1.989177227	5.092228688	5.729920672	6.057676476	6.567733348	4.962180593	6.223824707	5.873983971	6.732551435	7.133088377	6.890243173	5.954519649	4.780691684	6.589145735	4.631111268	8.354643173	5.089775254	5.676319203	4.739530323	4.176834707	5.621096346	7.27203619	4.938233173	4.522114571	7.084748852	7.033291188	4.067033173	6.050211268	4.516388688	6.912982824	3.251946266	7.703611733	5.504916999	4.603611268	3.75277	6.27543	3.275104707	3.848758767	7.03144907	7.330513689	4.663663348	7.010167338	4.950059879	2.995678767	7.252483173	7.008074185	7.286438095	6.582003349	6.736109649	7.467229879	6.614796472	7.508791268	6.861415195	4.925448095	6.040846758	7.012617499	6.446331631	7.001845735	5.86986	4.942376187	6.864078095	3.52501	4.266986476	4.032326176	3.72053	5.913279879	5.170316472	0.10431907	5.948866266	6.130348095	2.89849	6.342314234	5.89017314	7.400963971	2.879892824	4.85497	5.90956907	5.52166
